Move,Column2,Column3
"10,000,000 Volt Thunderbolt",1 per day,this move is a critical hit on a natural 10 instead of 11
Absorb,0,"on successful hit, the user regains HP equal to its Talent + its Grade"
Accelerock,0,FALSE
Acid,0,"on successful hit, the target's Sp. Defense stat is reduced by -1 (save 7)"
Acid Armor,0,"user's Defense stat is increased by +2, minor action to maintain"
Acid Spray,0,"on successful hit, the target's Sp. Defense stat is reduced by -1(save 7)"
Acrobatics,3 per battle,"if the user is holding no item, this move deals 2d10 damage instead"
Acupressure,0,"roll 1d6, its result determinet the stat that is increased by +2 until the end of the Battle. On a 1, Attack stat, 2, Defense stat, 3, Sp. Attack stat, 4, Sp. Defense stat, 5, Speed stat. On a 6, the target gains a bonus of +1 to hit for the rest of the Battle"
Aerial Ace,0,user gains a +1 to hit with this move
Aeroblast,1 per battle,this move is a critical hit on a natural 10 instead of 11
After You,3 per battle,"the target is moved in initiative order to right before the user, starting next turn"
Agility,0,"user's Speed stat is increased by +2, minor action to maintain"
Air Cutter,0,this move is a critical hit on a natural 10 instead of 11
Air Slash,3 per battle,"trigger 6, target is dazed (save 9)"
Ally Switch,3 per battle,user switches places with the target
Amnesia,0,"user's Sp. Defense stat is increased by +2, minor action to maintain"
Anchor Shot,0,"on a successful hit, the target becomes unable to flee, and is moved adjacent to the user"
Ancient Power,1 per battle,"trigger 6, all user's stats are increased by +1 until the end of the Battle"
Apple Acid,2 per battle, 
Aqua Jet,0,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Aqua Ring,0,"user regains HP equal to its Talent, minor action to maintain and regain HP each turn"
Aqua Tail,2 per battle,-
Arm Thrust,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Aromatherapy,1 per battle,all allies are cured of all conditions
Aromatic Mist,0,"target's Sp. Defense stat is increased by +1, for the rest of the Battle"
Assist,0,user uses a random move known by the target
Assurance,2 per battle,"if the target has already taken damage this turn, this move deals 2d10 damage instead"
Astonish,3 per battle,"trigger 5, target is dazed (save 7)"
Astral Barrage,1 per battle, 
Attack Order,3 per battle,this move is a critical hit on a natural 10 instead of 11
Attract,3 per battle,target becomes infatuated with user (save 9)
Aura Sphere,0,user gains a +1 to hit with this move
Aurora Beam,0,"trigger 6, the target's Attack stat is reduced by -1 (save 7)"
Aurora Veil,0,allies gain a resistance to physical and special move damage equal to the user's Grade. this move may only be used during a hail storm
Autotomize,3 per battle,"user's Speed stat is increased by +2, minor action to maintain"
Avalanche,2 per battle,"if the target has already taken damage this turn, this move deals 2d12 damage instead"
Baby-Doll Eyes,0,target's Attack is decreased by -1 (save 9)
Baneful Bunker,2 per battle,"any foe that hits user with a melee attack becomes poisoned, minor action to maintain"
Barrage,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Barrier,0,"user's Defense stat is increased by +2, minor action to maintain"
Baton Pass,0,the user is switched out for another Pokemon from its team. the new Pokemon gains all the stat changes the user had
Beak Blast,3 per battle,"trigger 6, target is burned, (save 9)"
Beat Up,2 per battle,the user and each of the user's allies adjacent to the target attacks the target. Each successful hit deals 1d(2x attacker's Brawn) Dark damage
Belch,2 per battle,this move may only be used if the user has eaten a Berry this Battle
Belly Drum,2 per battle,user takes damage equal to half its current HP. user's Attack stat is increased by +2 for the rest of the Battle
Bestow,3 per battle,user give its held item to a target that is not holding an item
Bide,2 per battle,"user bides for one turn, the second turn, user attacks an adjacent Pokemon. On a successful hit, the user deals damage equal to the amount of damage taken while biding"
Bind,0,"Target is bound (Save 11) Each turn the Target is bound, the Save target decreases by 1. For as long as the target is bound, they cannot attack or flee, and receive 1d4 damage."
Bite,0,"trigger 6, target is dazed (save 7)"
Blast Burn,1 per battle,"on successful hit, target cannot move during its next turn"
Blaze Kick,2 per battle,"this move is a critical hit on a natural 10 instead of 11. trigger 5, target is burned, (save 9)"
Blizzard,1 per battle,"trigger 4, target is frozen (save 9)"
Block,1 per battle,target cannot flee or move during its next turn
Blue Flare,1 per battle,"trigger 4, target is burned (save 9)"
Body Slam,3 per battle,"trigger 6, target is paralyzed, (save 9)"
Bolt Strike,1 per battle,"trigger 5, target is paralyzed, (save 11)"
Bone Club,0,"trigger 6, target is dazed, (save 7)"
Bone Rush,2 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d6 damage"
Bonemerang,2 per battle,attack twice
Boomburst,2 per battle,"If foes have soundproof, does no damage"
Bounce,1 per battle,"user flies high for one turn, on the second turn user attacks. trigger 4, target is paralyzed, (save 11)"
Brave Bird,3 per battle,recoil - 1d8
Brick Break,3 per battle,"on successful hit, the user may roll a save against one ongoing condition"
Brine,2 per battle,"if the target is at 50% HP or less, this move deals 2d12 damage instead"
Brutal Swing,0,-
Bubble,0,"trigger 6, target's Speed stat is reduced by -1 (save 7)"
Bubble Beam,0,"trigger 6, target's Speed stat is reduced by -1 (save 7)"
Bug Bite,0,"on successful hit, the user eats any berries the target is holding, the user gains any benefits from the berry"
Bug Buzz,2 per battle,"trigger 5, the target's Sp. Defense stat is reduced by -1 (save 9) If user has Soundproof, no effect"
Bulk Up,0,"user's Attack stat, Defense stat, and Brawn stat are increased by +1, minor action to maintain"
Bulldoze,0,"on successful hit, the target's Speed is reduced by -2 (save 7)"
Bullet Punch,0,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Bullet Seed,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d6 damage"
Burn Up,1 per battle,"after this move, user looses the Fire Type until the end of the Battle; If user isn't Fire-type, it fails. If user is pure Fire, pokemon becomes typeless"
Burning Jealousy,1 per battle, 
Calm Mind,0,"user's Sp. Attack stat, Sp. Defense stat, and Talent stat are increased by +1, minor action to maintain"
Camouflage,0,"the user's Type is changed according to the terrain of the Battle to Normal, Ground, Rock, Grass, Water, or Ice"
Captivate,0,target's Sp. Attack is decreased by -2 (save 9)
Catastropika,1 per day,-
Celebrate,0,-
Charge,0,"user's Sp. Defense stat is increased by +1, minor action to maintain. if the user uses an Electric Type move during its next turn, that move will be empowered"
Charge Beam,2 per battle,"trigger 4, user's Sp. Attack stat is increased by +1 until the end of the Battle"
Charm,0,target's Attack is decreased by -2 (save 9)
Chatter,0,"trigger 6, target is confused (save 7), if foe has soundproof, this fails"
Chip Away,0,this move ignores temporary bonuses the target has to Defense
Circle Throw,2 per battle,"on successful hit, target is thrown a number of squares equal to the user's Brawn + 1"
Clamp,3 per battle,"Target is bound (Save 11) Each turn the Target is bound, the Save target decreases by 1. For as long as the target is bound, they cannot attack or flee, and receive 1d4 damage."
Clanging Scales,1 per battle,"after this move, user's Defense stat is reduced by -1 (save 7)"
Clangorous Soul,1 per battle,"user looses 1/3rd of their HP, gains +4 in all stats"
Clear Smog,3 per battle,"on successful hit, both the user and target loose all temporary bonuses and penalties to their stats"
Close Combat,1 per battle,the user's Defense and Sp. Defense are reduced by -2 until the end of its next turn
Coaching,2 per battle,allies Attack and Defense Stat is increased by +2
Coil,0,"user's Attack stat, Defense stat, and to hit bonus are increased by +1, minor action to maintain"
Comet Punch,3 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Confide,0,target's Sp. Attack is decreased by -1 (save 9)
Confuse Ray,2 per battle,target becomes confused (save 9)
Confusion,0,"trigger 6, target is confused (save 7)"
Constrict,0,"trigger 6, target's Speed is reduced by -2 (save 7)"
Conversion,0,user changes its Type to the Type of one its known moves
Conversion 2,0,user changes its Type to the a Type that is resistant to the move that last damaged it
Copycat,0,user mimics the last move used this Battle
Core Enforcer,2 per battle,"if the target has already attacke this turn, it looses all its abilities until the end of the Battle on a successful hit"
Corrosive Gas,2 per battle,Hold items have no effect
Cosmic Power,0,"user's Defense stat and Sp. Defense stat are increased by +1, minor action to maintain"
Cotton Guard,2 per battle,"user's Defense stat is increased by +2, minor action to maintain"
Cotton Spore,0,target's Speed stat is decreased by -2 (save 9)
Counter,0,"user bides for one turn, the second turn, user attacks an adjacent Pokemon. On a successful hit, the user deals damage equal to the amount of damage taken from physical attacks while biding"
Court Change,2 per battle,allies gain advantage on triggers from field changes
Covet,0,"on successful hit, if the user is holding no item, user takes item held by target"
Crabhammer,2 per battle,this move is a critical hit on a natural 10 instead of 11
Crafty Shield,2 per battle,the user and its allies are protected from the next Status Move used against them
Cross Chop,1 per battle,this move is a critical hit on a natural 10 instead of 11
Cross Poison,0,"this move is a critical hit on a natural 10 instead of 11. trigger 6, target is poisoned, (save 7)"
Crunch,3 per battle,"trigger 5, target's Defense is reduced by -1 (save 7)"
Crush Claw,2 per battle,"trigger 5, target's Defense is reduced by -1 (save 9)"
Crush Grip,1 per battle,"if target is at 100% health, this move deals 3d10 damage, if the target is above 50%, this move deals 2d10 damage, if the target is below 50% health, this move deals 1d10 damage"
Curse,2 per battle,"if the user is a Ghost Type, it looses half its max HP and curses a foe (save 9), each turn the cursed foe looses 1/4 of its max HP. if the user is not a Ghost Type, user's Speed stat is decreased by -2 and its Attack stat and Defense stat are increased by +1 until the end of the battle"
Cut,0,-
Dark Pulse,3 per battle,"trigger 6, target is dazed (save 9)"
Dark Void,2 per battle,target falls asleep (save 9)
Darkest Lariat,2 per battle,this move ignores temporary bonuses the target has to Defense
Dazzling Gleam,2 per battle,-
Decorate,3 per battle,"targets attack and special attack is increased by +2, and looks nice, minor action to maintain"
Defend Order,2 per battle,"user's Defense stat and Sp. Defense stat are increased by +1, minor action to maintain"
Defense Curl,0,"user's Defense stat is increased by +1, minor action to maintain. This move can stack with itself to give a +2 increase to Defense stat and only one minor action to maintain"
Defog,3 per battle,target's Defense stat and Sp. Defense stat are decreased by -1 (save 7)
Destiny Bond,1 per battle,"if the user is knocked out before its next turn, the Pokemon that knocked it out also faints"
Detect,1 per battle,"during the user's next turn, it cannot be hit by any move"
Diamond Storm,1 per battle,"trigger 5, user's Defense is increased by +2 until end of the battle"
Dig,2 per battle,user burrows underground and attacks during its next turn
Disable,0,target becomes sealed (save 9). sealed Pokemon cannot use the move they used the turn before they were sealed
Disarming Voice,3 per battle,user gains a +1 to hit with this move
Discharge,3 per battle,"trigger 6, target is paralyzed (save 9)"
Dive,2 per battle,user dives underwater and attacks during its next turn
Dizzy Punch,2 per battle,"trigger 4, target is confused, (save 7)"
Doom Desire,1 per battle,"user attacks this turn, but target is not damaged until two turns later"
Double Hit,2 per battle,attack twice
Double Kick,0,attack twice
Double Slap,2 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Double Team,3 per battle,"user's Defense stat and Sp. Defense stat are increased by +1, minor action to maintain"
Double-Edge,3 per battle,recoil - 1d8
Draco Meteor,1 per battle,recoil - user's Sp. Attack stat is reduced by -2 (save 7)
Dragon Ascent,1 per battle,user's Defense and Sp. Defense are reduced by -1 (save 7)
Dragon Breath,0,"trigger 6, target is paralyzed (save 7)"
Dragon Claw,3 per battle,-
Dragon Dance,0,"user's Attack stat and Speed stat are increased by +1, minor action to maintain"
Dragon Energy,1 per battle, 
Dragon Hammer,3 per battle,-
Dragon Pulse,2 per battle,-
Dragon Rage,2 per battle,this move deals 12 damage
Dragon Rush,2 per battle,"trigger 5, target is dazed (save 9)"
Dragon Tail,2 per battle,"on successful hit, target is pushed a number of squares equal to the user's Brawn"
Drain Punch,2 per battle,"on successful hit, user regains hit points equal to its Talent + Grade"
Draining Kiss,2 per battle,"on successful hit, the user regains HP equal to 2x (its Talent + its Grade)"
Dream Eater,3 per battle,"on successful hit, the user regains HP equal to 2x (its Talent + its Grade)"
Drill Peck,0,-
Drill Run,2 per battle,this move is a critical hit on a natural 10 instead of 11
Dual Chop,3 per battle,attack twice
Dynamax Cannon,1 per battle, 
Dynamic Punch,1 per battle,"trigger 5, target is confused, (save 11)"
Earth Power,2 per battle,"trigger 5, target's Sp. Defense stat is reduced by -1 (save 9)"
Earthquake,2 per battle,-
Echoed Voice,3 per battle,"this move gains 1d8 bonus damage for each turn the user hits with this move in succession to a max of 3d8 bonus damage (4d8 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Eerie Impulse,3 per battle,target's Sp. Attack stat is decreased by -2 (save 9)
Eerie Spell,1 per battle, 
Egg Bomb,2 per battle,-
Electric Terrain,2 per battle,"creates a 5x5 zone of electrified ground, Electric Type moves used by Pokemon in this zone have their attacks Empowered. Pokemon in this zone that are grounded, cannot fall asleep"
Electrify,0,target becomes an Electric Type and looses all other Types (save 9)
Electro Ball,2 per battle,this move deals (user's speed - 3) d6 damage (max 5d6)
Electroweb,3 per battle,"trigger 5, target's Speed stat is reduced by -1 (save 9)"
Embargo,3 per battle,the target and its Trainer cannot use items (save 11)
Ember,0,"trigger 6, target is burned (save 7)"
Encore,1 per battle,target must continue to use the same move it used before hit with this move (save 11)
Endeavor,1 per battle,"if user is at 100% health, this move deals 1d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 3d10 damage, if the user is at 5HP or less, this move deals 4d10 damage"
Endure,2 per battle,user cannot be reduced to less than 1 HP until the end of its next turn
Energy Ball,2 per battle,"trigger 5, target's Sp. Defense stat is reduced by -1 (save 9)"
Entrainment,3 per battle,the target looses its ability and gains the user's ability instead (save 9)
Eruption,1 per battle,"if user is at 100% health, this move deals 3d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 1d10 damage"
Eternabeam,1 per battle, 
Expanding Force,, 
Explosion,1 per battle,"range 3, user faints after using this move"
Extrasensory,0,"trigger 6, target is dazed (save 7)"
Extreme Evoboost,1 per battle,"all user's stats (except Health) are increased by +1, minor action to maintain"
Extreme Speed,1 per battle,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Facade,0,"if the User is poisoned, burned, or paralyzed, this move deals 4d6 damage instead"
Fairy Lock,2 per battle,no Pokemon may flee until the end of user's next turn
Fairy Wind,0,-
Fake Out,1 per battle,"on successful hit, the target flinches during its next turn. this move only deals damage if used during the first round of a battle and if the target has not taken a turn yet. "
Fake Tears,0,target's Sp. Defense stat is decreased by -2 (save 7)
False Swipe,0,"if target would be reduced to fewer than 1 HP from damage from this move, instead the target's HP becomes 1"
Feather Dance,3 per battle,target's Attack stat is decreased by -2 (save 9)
Feint,2 per battle,cannot be protected against
Feint Attack,0,user gains a +1 to hit with this move
Fell Stinger,0,"if the target is knocked out from the damage from this move, the user's Attack is increased by +2 until the end of the battle"
Fiery Dance,2 per battle,"trigger 5, user's Sp. Attack stat is increased by +1 until the end of the Battle"
Fiery Wrath,2 per battle, 
Final Gambit,1 per battle,"this move deals (user's Grade +2) d6 damage, user faints after using this move"
Fire Blast,1 per battle,"trigger 4, target is burned (save 9)"
Fire Fang,3 per battle,"trigger 5, target is burned (save 7)"
Fire Lash,3 per battle,"trigger 6, target's Defense is reduced by -2 (save 9)"
Fire Pledge,2 per battle,"if an alley used Grass Pledge as a pledge this turn, this move deals 3d10 instead and creates a special weather condition called Sea of Fire. Each foe starting their turn while Sea of Fire is the weather condition must roll a (save 7) or become burned. You may choose to use this move as a pledge instead of doing 2d8 damage. If you do, an ally using Water Pledge later this turn will gain increased benefits from the move."
Fire Punch,3 per battle,"trigger 6, target is burned (save 9)"
Fire Spin,3 per battle,"If the opponent is not a ghost pokemon, trigger 6, the foe is Bound (Save 11), while the foe is bound, their speed is 0, they have -3 to attack, and they take the user's affinity bonus in damage until they become unbound. Each turn the target for this save is reduced by 1"
First Impression,1 per battle,only works the first turn of a battle
Fissure,1 per battle,"If this move hits a target, target must roll a save of 11, or lose all HP."
Flail,3 per battle,"if user is at 100% health, this move deals 1d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 3d10 damage, if the user is at 5HP or less, this move deals 4d10 damage"
Flame Burst,3 per battle,"on successful hit, foes adjacent to the target take 1d6 damage"
Flame Charge,0,"on successful hit, user's Speed is increased by +1 until the end of the battle"
Flame Wheel,0,"trigger 6, target is burned (save 7)"
Flamethrower,3 per battle,"trigger 5, target is burned (save 9)"
Flare Blitz,3 per battle,"trigger 5, target is burned (save 7), recoil - 1d12"
Flash,0,target gets a -1 to hit (save 7)
Flash Cannon,2 per battle,"trigger 5, target's Sp. Defense stat is reduced by -1 (save 9)"
Flatter,3 per battle,"target is confused (save 9), but target's Sp. Attack is increased by +1 until the end of the Battle"
Fleur Cannon,1 per battle,recoil - user's Sp. Attack stat is reduced by -2 (save 7)
Fling,2 per battle,"user throws its held item, it deals 1d10, 2d10, 3d10, or 4d10 damage depending on the rarity of the item thrown. The item is consumed, if the user has no held item, this move will fail"
Floral Healing,2 per battle,"target regains HP equalt to (user's Grade) d6 + Talent, if the terrain is grass, increast to d8's"
Flower Shield,2 per battle,all Grass Type Pokemon's Defense Stat is increased by +1 until the end of the Battle
Fly,3 per battle,"user flies high for one turn, on the second turn user attacks"
Flying Press,2 per battle,this move deals both Fighting and Flying damage simultaneously
Focus Blast,1 per battle,"trigger 4, target's Sp. Defense stat is reduced by -1 (save 9)"
Focus Energy,0,"user's attacks are considered critical hits on natural 10's instead of 11's, minor action to maintain"
Focus Punch,0,"the user bides for one turn and attacks on the second turn. If the user is damaged before it attacks, this move fails"
Follow Me,0,targets must attack user if able during their turn (save 9)
Force Palm,2 per battle,"trigger 4, target is paralyzed, (save 7)"
Foresight,0,"if target is a Ghost Type, it is no longer immune to Normal and Fighting damage (save 9), if target is not a Ghost Type, its Defense stat is decreased by -1 (save 7)"
Forest's Curse,0,target becomes a Grass Type and looses all other Types (save 9)
Foul Play,3 per battle,"this move deals damage equal to Xd6, where X is the Attack stat of the target"
Freeze Shock,1 per battle,"trigger 5, target is paralyzed, (save 11)"
Freeze-Dry,0,"trigger 6, target is frozen (save 7), this move is super effective against Water Types"
Freezing Glare,2 per battle, 
Frenzy Plant,1 per battle,user cannot attack the turn after using this move
Frost Breath,2 per battle,"on successful hit, this move is always a critical hit"
Frustration,0,"IQ or Happiness determines damage. If IQ/Happiness is between 1-10, deal 2d12 damage. If IQ is between 20 and 40, deal 2d10 damage. 40 and 80, 2d8 damage, 80 to 120, 2d6 damage, for 120 and above, 2d4 damage."
Fury Attack,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Fury Cutter,0,"this move gains 1d8 bonus damage for each turn the user hits with this move in succession to a max of 3d8 bonus damage (4d8 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Fury Swipes,3 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
