Move,Column2,Column3
Psywave,3 per battle,"Roll 2d6 to determine the damage of this move. 2 (1d4), 3(1d6), 4(1d8), 5(1d10), 6(1d12), 7-8(2d6), 9-10(3d6), 11(2d12), 12(3d10)"
Pulverizing Pancake,1 per day,-
Punishment,1 per battle,the damage from this attack is increased by 1d12 for each point of temporary stat increase the target currently has to a max of 3d12 bonus damage (4d12 total) . 
Purify,0,"user heals all of its own conditions, it regains HP equal to its Talent"
Pursuit,0,"if the target is fleeing, this move deals 2d8 damage instead"
Quash,3 per battle,target is moved to the last position in the initive order starting next turn
Quick Attack,0,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Quick Guard,3 per battle,"user and allies cannot be damaged from moves that reorder the initive order, until the end of the user's next turn"
Quiver Dance,0,"user's Sp. Attack stat, Sp. Defense Stat, and Speed stat are increased by +1, minor action to maintain"
Rage,0,"on successful hit, user's Attack is increased by +1 until the end of the battle. this move gains 1d4 bonus damage for each turn the user hits with this move in succession to a max of 5d4 bonus damage (6d4 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Rage Powder,0,target must attack user if able during their turn (save 9)
Rain Dance,1 per battle,the weather is changed to Rain
Rapid Spin,0,"on successful hit, target looses any bonuses to damage from consecutively hitting with moves like Fury Cutter"
Razor Leaf,0,this move is a critical hit on a natural 10 instead of 11
Razor Shell,2 per battle,"trigger 5, target's Defense is reduced by -1 (save 9)"
Razor Wind,2 per battle,"user charges for one turn, then attacks the second turn. this move is a critical hit on a natural 10 instead of 11"
Recover,2 per battle,user regains (user's Grade) d8 + Talent HP
Recycle,2 per battle,"if the user consumed a held item previously in the Battle, it regains that item, this move will fail if the user is holding an item. this move cannot be used to replace an item that was consumed through a move like Fling, Pluck, or Bugbite"
Reflect,0,user cannot be damaged by moves until the end of its next turn
Reflect Type,3 per battle,user becomes the same Type or Types as its target until the end of the Battle
Refresh,0,"user cures itself of poisoned, burned, and paralyzed statuses"
Relic Song,2 per battle,"trigger 5, target falls asleep (save 9)"
Rest,2 per battle,"user fall asleep for two turns, after spending two turns asleep, it wakes up with full HP and cured of all conditions"
Retaliate,1 per battle,"if an ally fainted this round or the previous round, this move deals 4d6 damage instead"
Return,0,"IQ or Happiness determines damage. If IQ/Happiness is between 1-10, deal 2d4 damage. If IQ is between 20 and 40, deal 2d6 damage. 40 and 80, 2d8 damage, 80 to 120, 2d10 damage, if 120 and above, 2d12 damage."
Revelation Dance,3 per battle,the Type of this move is changed to the user's Type or Types
Revenge,2 per battle,"if the user has taken damage from the target this turn, this move deals 2d12 instead"
Reversal,3 per battle,"if user is at 100% health, this move deals 1d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 3d10 damage, if the user is at 5HP or less, this move deals 4d10 damage"
Rising Voltage,, 
Roar,0,"target is switched out for another Pokemon, in the wild, the target starts fleeing if able"
Roar of Time,1 per battle,user cannot attack the turn after using this move
Rock Blast,2 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d6 damage"
Rock Climb,0,"trigger 6, target is confused (save 7)"
Rock Polish,0,"user's Speed stat is increased by +2, minor action to maintain"
Rock Slide,2 per battle,"trigger 5, target is dazed (save 9)"
Rock Smash,3 per battle,"trigger 5, target's Defense is reduced by -1 (save 7)"
Rock Throw,3 per battle,-
Rock Tomb,3 per battle,"on successful hit, target's Speed is reduced by -1 (save 9)"
Rock Wrecker,1 per battle,user cannot move during its following turn
Role Play,2 per battle,user gains the ability of the target until the end of the Battle
Rolling Kick,3 per battle,"trigger 5, target is dazed (save 7)"
Rollout,0,"this move gains 1d6 bonus damage for each turn the user hits with this move in succession to a max of 4d6 bonus damage (5d6 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Roost,2 per battle,"user becomes grounded, regains HP equal to (user's Grade + Talent) d6"
Rototiller,2 per battle,all Grass Type Pokemon's Attack Stats and Sp. Attack Stats are increased by +1 until the end of the Battle
Round,3 per battle,this move gains 1d12 bonus damage for each ally that hit with Round this turn
Sacred Fire,1 per battle,"trigger 4, target is dazed (save 9)"
Sacred Sword,3 per battle,this move ignores temporary bonuses the target has to Defense
Safeguard,0,"creates a 5x5 zone, in the zone allies cannot gain conditions"
Sand Attack,3 per battle,target gets a -1 to hit (save 9)
Sand Tomb,3 per battle,the weather becomes Sandstorm for the next 5 rounds
Sandstorm,2 per battle,weather is changed to Sandstorm
Scald,3 per battle,"trigger 5, target is burned (save 7)"
Scary Face,2 per battle,target's Speed stat is decreased by -2 (save 9)
Scorching Sands,2 per battle, 
Scratch,0,-
Screech,0,target's Defense stat is decreased by -2 (save 7)
Searing Shot,1 per battle,"trigger 5, target is burned (save 11)"
Secret Power,0,"trigger 6, target becomes; paralyzed (inside buildings or plain terrain), dazed (sand or cave), confused (rock), poisoned (tall grass), falls asleep (long grass), Speed reduced by -1 (pond water), Attack reduced by -1 (sea water), Defense reduced by -1 (under water) (save 7)"
Secret Sword,2 per battle,this move is considered a Physical Move
Seed Bomb,3 per battle,-
Seed Flare,1 per battle,"trigger 4, target's Sp. Defense stat is reduced by -1 (save 9)"
Seismic Toss,0,this move deals user's Grade d6 damage
Self-Destruct,1 per battle,user faints after using this move
Shadow Ball,3 per battle,"trigger 6, target's Sp. Defense stat is reduced by -1 (save 9)"
Shadow Bone,2 per battle,"trigger 5, target's Defense is reduced by -1 (save 9)"
Shadow Claw,3 per battle,this move is a critical hit on a natural 10 instead of 11
Shadow Force,1 per battle,"the user disappears for a turn, on the second turn the user attacks with this move"
Shadow Sneak,0,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Sharpen,0,"user's Attack stat and Brawn stat are increased by +1, minor action to maintain"
Sheer Cold,1 per battle,??
Shell Side Arm,2 per battle, 
Shell Smash,3 per battle,"user's Defense and Sp. Defense stat are decreased by -1, user's Attack stat, Sp. Attack stat, and Speed stat are increased by +2 until the end of the Battle"
Shell Trap,1 per battle,"interrupt attack, when the user is hit with a physical move"
Shift Gear,2 per battle,"user's Attack stat is increased by +1, user's Speed stat is increased by +2, minor action to maintain"
Shock Wave,0,user gains a +1 to hit with this move
Shore Up,2 per battle,"user regains (user's Grade) d8 + Talent HP, this changes to d12's in Sandstorm"
Signal Beam,3 per battle,"trigger 5, target is confused (save 7)"
Silver Wind,1 per battle,"trigger 6, all user's stats are increased by +1 until the end of the Battle"
Simple Beam,3 per battle,target's gains the simple ability until the end of the Battle
Sing,3 per battle,target falls asleep
Sinister Arrow Raid,1 per day,-
Sketch,1 per battle,"user learns the last move used by the target, Sketch is forgotten"
Skill Swap,2 per battle,user exchanges abilities with target
Skull Bash,2 per battle,"the user tucks its head for one turn and the user's Defense is increased by +1 until the end of the Battle, on the second turn the user attacks with this move"
Sky Attack,1 per battle,"user flies high for one turn, on the second turn user attacks. this move is a critical hit on a natural 10 instead of 11. trigger 4, target is dazed (save 7)"
Sky Drop,2 per battle,"user grabs the target and flies both the target and the user high for one round. Target may not take any action while flying high. on the second turn, target is dropped and takes damage"
Sky Uppercut,3 per battle,May strike flying foes
Slack Off,2 per battle,user regains HP equal to user's Grade * Health  + Talent
Slam,0,Welcome to the Jam
Slash,0,this move is a critical hit on a natural 10 instead of 11
Sleep Powder,3 per battle,target falls asleep (save 9)
Sleep Talk,2 per battle,can only be used while user is asleep. user uses another random move it knows
Sludge,0,"trigger 6, target is poisoned (save 7)"
Sludge Bomb,2 per battle,"trigger 5, target is poisoned (save 9)"
Sludge Wave,2 per battle,"trigger 5, target is poisoned (save 9)"
Smack Down,3 per battle,"on successful hit, if the target is a Flying type, it becomes grounded and is no longer immue to ground damage until the end of the Battle"
Smart Strike,2 per battle,user gains a +2 to hit with this move
Smelling Salts,2 per battle,"if the target is paralyzed, this move deals 4d6 damage instead. on successful hit, target is cured of paralysis"
Smog,0,"trigger 6, target is poisoned (save 7)"
Smokescreen,0,target gets a -1 to hit (save 7)
Snarl,3 per battle,"trigger 6, target's Sp. Attack stat is reduced by -1 (save 9)"
Snatch,2 per battle,"if target would be healed or have a stat increased, the user gets that benefit instead (save 7)"
Snipe Shot,3 per battle,ignores opposing pokemons abilities
Snore,3 per battle,"trigger 5, target is dazed (save 9). this move may only be used if the user is asleep. "
Soak,0,target becomes an Water Type and looses all other Types (save 9)
Soft-Boiled,2 per battle,user regains HP equal to (user's Grade) d6 + Talent
Solar Beam,2 per battle,"user charges for one turn, then attacks the second turn. If Sunny Weather is in effect, negate charge time, and increase range to Grade*3"
Solar Blade,2 per battle,"the user focuses energy for one turn, on the second turn the user attacks with this move"
Sonic Boom,0,this move deals 5 damage
Soul-Stealing 7-Star Strike,1 per day,-
Spacial Rend,1 per battle,this move is a critical hit on a natural 10 instead of 11
Spark,0,"trigger 6, target is paralyzed (save 7)"
Sparkling Aria,2 per battle,"on successful hit, target is cured of burned conditions"
Spectral Thief,2 per battle,"on successful hit, user gains all temporary stat bonuses the target had, target looses all tempoary stat bonuses"
Speed Swap,2 per battle,user exchanges Speed stats with the target
Spider Web,2 per battle,target cannot flee (save 11)
Spike Cannon,3 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Spikes,0,"creates a 5x5 zone of spikes, Pokemon starting their turn in the zone take (user's Grade) d4 damage from the spikes"
Spiky Shield,2 per battle,"user cannot take damage until the end of its next turn, if attacked with a Physical move, the attacker takes (user's Grade) d6 damage"
Spirit Shackle,2 per battle,"on successful hit, target may not move during its next turn"
Spit Up,2 per battle,"if the user has used Stockpile for one turn, this move deals 2d10 damage, two turns, 4d10 damage, three turns 6d10 damage. if the user has not used Stockpile, this move fails"
Spite,2 per battle,target looses one use of the last move it used against the user
Splash,0,-
Spore,3 per battle,target falls asleep (save 9)
Spotlight,3 per battle,all foes must attack the target if able (save 7)
Stealth Rock,0,"creates a 5x5 zone of floating stones, Pokemon starting their turn in the zone take (user's Grade) d4 damage from the spikes"
Steam Eruption,1 per battle,"trigger 4, target is burned (save 9)"
Steamroller,0,"trigger 6, target is dazed (save 7)"
Steel Beam,1 per battle, 
Steel Wing,0,"trigger 6, user's Defense is increased by +1 until the end of the battle"
Sticky Web,0,"creates a 5x5 zone of webbing, Pokemon starting their turn in the zone have their Speed stat decreased by -2 (save 7)"
Stockpile,0,"user's Defense stat and Sp. Defense stat are increased by +1, minor action to maintain"
Stoked Sparksurfer,1 per day,"on successful hit, target is paralyzed (save 9)"
Stomp,0,"trigger 6, target is dazed (save 7)"
Stomping Tantrum,2 per battle,"if the user's move the previous turn missed, this move deals 4d6 damage instead"
Stone Edge,1 per battle,this move is a critical hit on a natural 10 instead of 11
Stored Power,2 per battle,this move gains 1d6 bonus damage for each point of temporary stat increase the user currently has
Storm Throw,2 per battle,this move is a critical hit on a natural 10 instead of 11
Strange Steam,2 per battle, 
Strength,3 per battle,-
Strength Sap,2 per battle,user regains HP equal to target's attack stat)
String Shot,0,target's Speed stat is decreased by -2 (save 9)
Struggle,0,"A move known by all Pokemon, but only usable if all its other moves are exhausted for the Battle. User takes half the damage it deals with this attack"
Struggle Bug,0,"trigger 6, target's Sp. Attack stat is reduced by -1 (save 7)"
Stuff Cheeks,2 per battle,"if the user held an berry and ate it, +4 to defense"
Stun Spore,0,target is paralyzed (save 7)
Submission,0,recoil - 1d8
Substitute,2 per battle,"user makes a copy of itself. the copy takes half the user's current HP, foes have a 50% chance to hit the copy instead of the user"
Sucker Punch,1 per battle,"interrupt, can be used right before the user is attacked by an adjacent target"
Sunny Day,1 per battle,weather is changed to Sunny
Sunsteel Strike,1 per battle,-
Super Fang,2 per battle,Deal damage equal to half the opponents current health points
Superpower,1 per battle,the user's Attack and Defense are reduced by -1 (save 7)
Supersonic,0,target is confused (save 7)
Surf,3 per battle,-
Swagger,3 per battle,"target is confused (save 9), but target's Attack stat is increased by +1 until the end of the Battle"
Swallow,2 per battle,"user regains HP equal to (user's Grade) d8 + Talent, if user used Stockpile previously in battle, it regains d12's instead"
Sweet Kiss,2 per battle,target is confused (save 9)
Sweet Scent,0,Pokemon attacking target get a +1 to hit (save 7)
Swift,0,user gains a +1 to hit with this move
Switcheroo,2 per battle,user switches held items with target
Swords Dance,0,"user's Attack stat and Brawn stat are increased by +2, minor action to maintain"
Synchronoise,2 per battle,"on successful hit, if the user is burned, frozen, poisoned, or paralyzed, the target gains the same condition"
Synthesis,1 per battle,"user regains (user's Grade) d8 + Talent HP, this changes to d12's in Harsh Sunlight and d6's in all other weather conditions"
Tackle,0,-
Tail Glow,0,"user's Sp. Attack stat and Talent stat are increased by +2, minor action to maintain"
Tail Slap,2 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d6 damage"
Tail Whip,0,target's Defense stat is decreased by -1 (save 7)
Tailwind,3 per battle,"allies Speed stat is increased by +2, minor action to maintain"
Take Down,0,recoil - 1d6
Tar Shot,3 per battle,"targets speed is decreased by -2, also weak to fire type attacks"
Taunt,0,target may not use status moves and must attack if able (save 9)
Tearful Look,0,target's Attack stat and Sp. Attack stat are decreased by -1 (save 7)
Teatime,2 per battle,every pokemon on the field eats their hold berry
Techno Blast,1 per battle,"if user is holding a drive, the Type of this move becomes the same Type as the drive"
Teeter Dance,0,target is confused (save 7)
Telekinesis,3 per battle,Pokemon attacking target get a +1 to hit (save 7)
Teleport,0,flee from any battle
Terrain Pulse,2 per battle, 
Thief,0,"on successful hit, if the user is holding no item it steals the target's held item"
Thousand Arrows,2 per battle,"on successful hit, target is grounded"
Thousand Waves,2 per battle,"on successful hit, target cannot flee"
Thrash,2 per battle,"user attack an adjacent foe at random. User must use this move again the following round (this does not count towards the uses per battle limit). At the end of the second round roll a (save 7). If save fails, user becomes confused. If save passes, user must use this move again the following round. At the end of the third round, user becomes confused."
Throat Chop,3 per battle,"on successful hit, target cannot use sound based moves for 2 turns"
Thunder,2 per battle,"trigger 5, target is paralyzed (save 9)"
Thunder Cage,3 per battle, 
Thunder Fang,3 per battle,"trigger 5, target is paralyzed (save 7)"
Thunder Punch,3 per battle,"trigger 6, target is paralyzed (save 9)"
Thunder Shock,0,"trigger 6, target is paralyzed (save 7)"
Thunder Wave,0,target is paralyzed (save 7)
Thunderbolt,3 per battle,"trigger 6, target is paralyzed (save 9)"
Tickle,0,target's Attack stat and Defense stat are decreased by -1 (save 7)
Topsy-Turvy,0,target's temporary stat bonuses and penalties are reversed in value
Torment,3 per battle,target cannot use the save move two turns in a row (save 7)
Toxic,2 per battle,target is poisoned (save 9)
Toxic Spikes,0,"creates a 5x5 zone of poison spikes, Pokemon starting their turn in the zone become poisoned (save 7)"
Toxic Thread,0,"target is poisoned (save 7), as long as it is poisoned its Speed stat is reduced by -1"
Transform,2 per battle,user becomes the same kind of Pokemon as target and learns all its move until the end of Battle
Tri Attack,2 per battle,"trigger 6, target is burned (save 9), trigger 6, target is frozen (save 9), trigger 6, target is paralyzed (save 9)"
Trick,2 per battle,user switches held items with target
Trick Room,1 per battle,"starting next turn, the initive order is reversed"
Trick-or-Treat,0,target gains the Ghost Type in addition to its other Types (save 9)
Triple Kick,2 per battle,"attack once, if you hit, attack again with a -1, if you miss you deal 1d4 damage. If you hit, attack again with a -2, if you miss you deal 2d8 damage, if you hit you deal 3d12 damage"
Trop Kick,3 per battle,"on successful hit, target's Attack is reduced by -1 (save 7)"
Trump Card,1 per battle,"if three of the user's other moves are exhausted, this move deals 4d10 damage, if two of the user's other moves are exhausted, this move deals 3d10 damage, if one of the user's other moves is exhausted, this move deals 2d10 damage, if none of the user's other moves are exhausted, this move deals 1d10 damage"
Twineedle,0,"attack twice. If both attacks hit; trigger 6, target is poisoned (save 7)"
Twister,0,"trigger 6, target is dazed (save 7)"
Uproar,2 per battle,user uses this move three turns in a row (this does not count towards the limit per battle). no Pokemon can fall asleep this turn or next
U-turn,0,"after the attack, the user is switched out for another Pokemon from its team"
Vacuum Wave,0,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
V-create,1 per battle,"the user's Defense, Sp. Defense and Speed are reduced by -1 (save 7)"
Venom Drench,0,"target is poisoned (save 7), as long as target is poisoned its Attack stat, Sp. Attack stat, and Speed stat is reduced by -1"
Venoshock,2 per battle,"if the target is poisoned, this move deals 2d12 damage instead"
Vine Whip,0,-
Vital Throw,2 per battle,user gains a +2 to hit with this move. user is moved to the end of the initiative order starting next turn
Volt Switch,0,"after the attack, the user is switched out for another Pokemon from its team"
Volt Tackle,3 per battle,"trigger 6, target is paralyzed (save 9). recoil - 1d12"
Wake-Up Slap,2 per battle,"if the target is sleeping, this move deals 4d6 damage instead. on successful hit, target wakes up"
Water Gun,0,-
Water Pledge,2 per battle,"if an alley used Fire Pledge as a pledge this turn, this move deals 3d10 damage instead and creates a special weather condition called Rainbow. While the Rainbow is the current weater conditon, you and your allies gain a +1 on trigger rolls. You may choose to use this move as a pledge instead of doing 2d8 damage. If you do, an ally using Grass Pledge later this turn will gain increased benefits from the move."
Water Pulse,0,"trigger 6, target is poisoned (save 7)"
Water Shuriken,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage. the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Water Sport,3 per battle,"creates a 5x5 zone of water, any Pokemon using Fire moves in the zone has their damage cut in half"
Water Spout,1 per battle,"if user is at 100% health, this move deals 3d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 1d10 damage"
Waterfall,3 per battle,"trigger 6, target is dazed (save 9)"
Weather Ball,2 per battle,the Type of this move is changed by the current weather
Whirlpool,0,"this move gains 1d6 bonus damage for each turn the user hits with this move in succession to a max of 4d6 bonus damage (5d6 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Whirlwind,0,"target is switched out for another Pokemon, in the wild, the target starts fleeing if able"
Wide Guard,2 per battle,creates a 5x5 zone where Pokemon cannot be targeted by ranged moves
Wild Charge,3 per battle,recoil - 1d6
Will-O-Wisp,3 per battle,target is burned (save 9)
Wing Attack,0,-
Wish,2 per battle,"one turn after this move is used, user or its replacement regain HP equal to (user's Grade) d10"
Withdraw,0,"user's Defense stat is increased by +2, minor action to maintain"
Wonder Room,2 per battle,"creates a 5x5 zone, any Pokemon in this zone has its Defense and Sp. Defense swapped"
Wood Hammer,3 per battle,recoil - 1d12
Work Up,0,"user's Attack and Sp. Attack are increased by +1, minor action to maintain"
Worry Seed,2 per battle,target gains the insomnia ability until the end of the Battle
Wrap,0,??
Wring Out,1 per battle,"if target is at 100% health, this move deals 3d10 damage, if the target is above 50%, this move deals 2d10 damage, if the target is below 50% health, this move deals 1d10 damage"
X-Scissor,3 per battle,-
Yawn,2 per battle,target falls asleep at the end of its next turn
Zap Cannon,1 per battle,"on successful hit, target is paralyzed (save 9)"
Zen Headbutt,3 per battle,"trigger 6, target is dazed (save 9)"
Zing Zap,2 per battle,"trigger 6, target is dazed (save 11)"
